Date,Title,Duration,Views,Average Viewers,Peak Viewers,Followers Gained,Chat Messages,Estimated Revenue
2026-05-02 20:00:00,May kickoff stream,02:15:00,1280,24.5,41,18,326,1540
2026-05-04 21:00:00,Chat and game night,01:48:00,940,19.2,33,11,214,980
2026-05-07 20:30:00,Collab planning stream,02:05:00,1510,31.7,54,27,482,2210
2026-05-10 19:00:00,Weekend challenge,03:12:00,2380,42.1,78,39,711,3560
2026-05-13 22:00:00,Late night talk,01:25:00,760,16.8,29,7,188,640
2026-05-16 20:00:00,New game first look,02:40:00,1890,36.4,62,31,533,2870
2026-05-18 21:30:00,Viewer request stream,01:58:00,1120,22.9,37,14,265,1230
2026-05-21 20:00:00,Ranked practice,02:22:00,1345,28.3,46,20,392,1760
2026-05-24 19:30:00,Monthly event stream,03:35:00,3150,55.6,104,63,1052,5120
2026-05-27 22:00:00,Short stream recap,00:58:00,520,13.4,21,5,92,410
2026-05-29 20:30:00,Community lobby,02:10:00,1460,30.1,49,24,441,1980
2026-05-31 21:00:00,May closing stream,02:50:00,2040,39.8,71,36,684,3340
